STORE,Urban_Rural,Market_Name,ST,Population,Asian_Pop,African_American_Pop,Hispanic_Pop,House_Holds,Median_Age,Median_Income,Median_Housing_Value,Total_Older_Vehicles,Total_Vehicles
1,U,Knoxville,TN,37139,487,2087,1628,15272,41.955863,56704.90525,163494.089,30134.19886,37715.07648
10,R,Atlanta,GA,1,112,133,,5835,55.511751,61727.31327,201853.3577,12427,15755
100,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,47292,2432,579,,20007,30.503127,83676.47253,599777.5349,24651.1564,33937.6668
100,U,Santa Barbara-Santa Maria-San Luis Obispo,CA,47292,2432,579,,20007,30.503127,83676.47253,599777.5349,24651.1564,33937.6668
101,U,Los Angeles,CA,48090,7280,8173,26102,15018,29.829592,27498.68967,396409.4102,22500,28696
102,U,Fresno-Visalia,CA,38876,1167,972,17836,13968,34.187139,58006.72927,193656.6765,22853.69432,29970.77858
103,R,Sacramento-Stockton,CA,32169,321,239,4128,13379,49.375538,75587.21838,341415.9815,26609.91832,33874.0117
104,U,El Centro-Yuma,CA,26028,450,459,21345,6691,32.065925,37915.4368,192862.4331,20247.69598,27228.1953
105,U,Bakersfield,CA,32318,370,548,7707,11869,32.390086,30502.18912,131388.2699,20375.4002,26173.84832
106,U,San Diego,CA,55138,2754,4933,20438,19012,33.491249,35899.1191,287092.903,35678.88593,45718.23954
107,U,San Francisco-Oakland-San Jose,CA,21244,722,2773,9452,7160,35.914475,51662.04467,289847.7575,16275.66573,20264.55135
108,U,San Francisco-Oakland-San Jose,CA,38630,10374,1248,20320,9702,35.424422,90067.46089,518165.7169,23551.31702,30643.27062
109,U,San Francisco-Oakland-San Jose,CA,28831,5504,1343,8054,10090,38.336117,-12,828212.9034,15314.31751,22682.91147
109,U,San Francisco-Oakland-San Jose,CA,28831,5504,1343,8054,10090,38.336117,-12,828212.9034,15314.31751,22682.91147
11,U,Los Angeles,CA,29385,2422,476,,10225,38.941297,89217.65727,504576.7133,19117,27250
110,U,Los Angeles,CA,23888,3112,135,20179,4716,36.526318,56881.99276,494718.0971,13625.21676,17801.88382
111,U,San Francisco-Oakland-San Jose,CA,31944,1652,15132,9438,11056,36.549077,51778.99815,440154.7654,20786,25957
112,U,Los Angeles,CA,32112,2581,638,6810,11912,41.138506,96369.9848,613167.2182,17574,25843
113,U,Albuquerque,NM,30190,2944,532,7270,12092,42.960812,102790.0092,275700.5137,18231,26306
114,U,Los Angeles,CA,39216,627,21795,17721,13686,39.425783,31423.85914,430401.5175,23343.80124,30672.63354
115,R,Sacramento-Stockton,CA,21480,668,545,8916,6371,36.219479,82914.22295,346658.6839,13620,18201
116,U,Los Angeles,CA,20893,317,330,20444,5344,33.747676,23319.47987,361553.1323,11208,15231
117,U,Los Angeles,CA,22857,1915,373,6778,7537,39.558507,85219.31443,571964.1154,11688,17024
118,U,Sacramento-Stockton,CA,39890,1558,635,3964,15700,42.453821,91794.04545,396976.1013,25930,34730
119,R,Sacramento-Stockton,CA,12979,225,139,5783,4030,34.24347,54567.74466,310374.1114,9647,12030
12,R,Paducah-Cape Girardeau-Harrisburg-Marion,IL,37387,199,366,577,15819,42.793722,37423.36261,76973.66667,26017.40552,32833.23671
12,R,Paducah-Cape Girardeau-Harrisburg-Marion,IL,37387,199,366,577,15819,42.793722,37423.36261,76973.66667,26017.40552,32833.23671
120,U,Los Angeles,CA,22068,1486,14116,4755,6777,42.482319,78301.84992,447548.0663,13839,19802
121,R,Salinas-Monterrey,CA,17215,156,161,16828,3849,28.508858,40028.61667,275620.5284,13195,15804
122,U,Fresno-Visalia,CA,16973,1372,1145,13050,4348,30.635568,-12,122286.3701,10242.25926,
122,U,Fresno-Visalia,CA,16973,1372,1145,13050,4348,30.635568,-12,122286.3701,10242.25926,
123,R,Los Angeles,CA,10227,73,192,1914,3931,44.794368,37218.23203,120440.6505,10720,12503
123,R,Los Angeles,CA,10227,73,192,1914,3931,44.794368,37218.23203,120440.6505,10720,12503
124,R,Fresno-Visalia,CA,12733,66,63,12392,2734,30.805144,17252.63387,151471.5355,9197,10523
125,R,Fresno-Visalia,CA,17020,437,409,9478,5214,32.938155,39976.32809,230362.4568,11827,15137
126,R,Sacramento-Stockton,CA,13006,200,126,8413,4388,34.989781,44412.43749,222056.0166,10523.06395,13339.47162
127,U,Fresno-Visalia,CA,11242,111,69,9819,2804,30.911483,24731.79443,153214.0892,7644.772096,9397.786206
128,U,Fresno-Visalia,CA,33998,5169,2321,12793,11427,34.333246,69308.7351,263269.3347,17630.92359,
129,U,Los Angeles,CA,31617,925,404,27457,8512,37.002685,51868.06253,422421.5085,17135,23778
13,U,Bakersfield,CA,54669,525,1682,45092,14507,28.588074,29960.13794,135124.7146,39975.59218,48226.02896
130,U,Los Angeles,CA,54940,2869,11221,31185,13046,31.899126,52373.35122,280323.6715,30585,41801
131,U,Los Angeles,CA,25117,1302,3869,19224,6965,33.362981,37322.75773,319972.4966,16033,20943
132,U,Sacramento-Stockton,CA,54669,4336,1257,8680,19405,37.419316,98057.78968,409401.6563,34779,49662
133,U,Salinas-Monterrey,CA,45538,1647,511,40802,9632,29.814338,57097.40843,359320.1881,27254.08081,34299.23589
