STORE,STORE_TYPE,Location
700,S,"36.324269,-119.277515"
701,S,"32.584449,-117.105069"
702,S,"35.261197,-118.913668"
703,S,"34.272249,-119.171064"
704,S,"36.210883,-119.330218"
705,S,"37.532853,-122.293355"
706,S,"36.962739,-120.061459"
707,S,"36.721004,-119.800823"
708,S,"34.09171,-117.737196"
709,S,"35.334419,-119.075843"
710,S,"33.798738,-118.070735"
711,S,"34.191611,-118.93865"
712,S,"33.93749,-117.401057"
713,S,"36.931144,-121.768373"
714,S,"38.022035,-121.3432"
715,S,"36.201639,-119.10252"
716,S,"37.531397,-121.958409"
717,S,"37.330878,-119.655384"
718,S,"33.988256,-118.256116"
719,S,"37.679005,-121.777004"
720,S,"37.604749,-120.9391"
721,S,"37.91083,-121.293102"
722,S,"33.944972,-118.326832"
723,S,"34.036426,-117.924421"
724,S,"38.11463,-122.25385"
725,S,"35.121493,-120.613801"
726,S,"37.964178,-122.344805"
727,S,"37.485439,-122.233297"
728,S,"33.848106,-117.541953"
729,S,"34.422012,-118.54017"
730,S,"37.311524,-121.020301"
731,S,"32.688822,-117.045972"
732,S,"38.414951,-122.7129"
733,S,"33.761126,-117.851566"
734,S,"39.364664,-121.6874"
735,S,"39.927636,-122.195839"
736,S,"34.629603,-118.219453"
737,S,"37.945069,-121.696547"
738,S,"40.589866,-124.147453"
739,S,"32.748273,-116.98678"
740,S,"36.064508,-119.009605"
741,S,"41.762371,-124.197748"
742,S,"34.176792,-118.850847"
743,S,"35.126453,-117.955975"
744,S,"37.76075,-122.246017"
745,S,"34.137389,-117.371082"
746,S,"37.774628,-122.228348"
747,S,"33.759308,-117.872192"
748,S,"35.390646,-119.002513"
749,S,"34.863718,-118.179107"
750,S,"35.499127,-119.277844"
751,S,"34.024301,-118.19202"
752,S,"34.136914,-118.251021"
753,S,"34.097884,-118.301006"
754,S,"34.015182,-117.975205"
755,S,"33.791792,-118.142371"
756,S,"33.80406,-118.214868"
757,S,"34.03956,-118.309269"
758,S,"34.028512,-118.292033"
759,S,"34.090438,-118.317744"
760,S,"34.09478,-118.338345"
761,S,"34.113912,-118.072492"
762,S,"34.06225,-118.086526"
763,S,"33.739167,-118.288365"
764,S,"33.916919,-118.26907"
765,S,"33.925281,-117.896078"
766,S,"33.715094,-118.009542"
767,S,"33.732688,-117.82703"
768,S,"33.679745,-116.18098"
769,S,"33.91754,-117.23459"
770,S,"33.80284,-117.22542"
771,S,"33.772214,-116.959409"
772,S,"38.691832,-121.271118"
773,S,"38.525274,-121.470729"
774,S,"38.559034,-121.438756"
775,S,"34.898281,-117.012065"
776,S,"34.107793,-117.546018"
777,S,"33.37269,-117.254485"
778,S,"32.555727,-116.942068"
779,S,"32.819929,-117.17656"
780,S,"37.939797,-121.282598"
781,S,"33.468058,-117.676537"
782,S,"37.950632,-122.331712"
783,S,"33.809615,-117.853562"
784,S,"34.470545,-117.256822"
785,S,"33.719821,-117.987705"
786,S,"38.189802,-120.828025"
787,S,"37.386504,-120.735084"
788,S,"36.989439,-120.634958"
789,S,"34.222517,-119.177653"
790,S,"37.996536,-122.132018"
